Designator,"Mid X","Mid Y",Layer,Rotation
C1,142.200000,-87.500000,top,-90.000000
C2,131.540000,-101.772000,top,180.000000
C3,131.540000,-104.782000,top,180.000000
C4,131.540000,-107.792000,top,180.000000
J1,140.193000,-78.822000,top,180.000000
R1,140.900000,-86.582000,top,-90.000000
R2,145.050000,-90.600000,top,0.000000
R3,142.900000,-95.700000,top,180.000000
R4,142.900000,-96.700000,top,0.000000
R5,135.375000,-85.890000,top,-90.000000
R6,135.375000,-89.790000,top,-90.000000
R7,135.375000,-93.590000,top,-90.000000
R8,135.345000,-97.400000,top,-90.000000
U1,138.400000,-88.594500,top,-90.000000
U2,139.100000,-96.082000,top,-90.000000
